,rockets name,organization name,date,lat,lng,S/F,reason for failure
17,Ariane 5 ECA | Echostar XVII & MSG-3,Arianespace,"July 5, 2012 21:36:07 UTC",5.239,-52.768,S,Na
18,Proton-M / Briz-M Enhanced | EchoStar XVI,International Launch Services,"November 20, 2012 18:31:00 UTC",46.039984,63.032093,S,Na
19,Ariane 5 ECA | Echostar 18 & BRIsat,Arianespace,"June 18, 2016 21:40:00 UTC",5.239,-52.768,S,Na
20,Atlas V 431 | Echostar 19 (Jupiter-2),United Launch Alliance,"December 18, 2016 20:27:00 UTC",28.58341025,-80.58303644,S,Na
21,Falcon 9 Full Thrust | Echostar 23,SpaceX,"March 16, 2017 08:05:00 UTC",28.60822681,-80.60428186,S,Na
22,Proton-M Briz-M | Echostar 21,International Launch Services,"June 8, 2017 03:45:47 UTC",46.071001,62.984999,S,Na
23,Falcon 9 Full Thrust | Echostar 105/SES-11,SpaceX,"October 11, 2017 00:53:00 UTC",28.60822681,-80.60428186,S,Na
24,Atlas LV-3B | Mercury-Atlas 6,National Aeronautics and Space Administration,"February 20, 1962 14:47:39 UTC",28.49103,-80.54687,S,Na
25,Atlas LV-3B | Mercury-Atlas 7,National Aeronautics and Space Administration,"May 24, 1962 12:45:16 UTC",28.49103,-80.54687,S,Na
26,Atlas LV-3B | Mercury-Atlas 8,National Aeronautics and Space Administration,"October 3, 1962 12:15:12 UTC",28.49103,-80.54687,S,Na
27,Atlas LV-3B | Mercury-Atlas 9,National Aeronautics and Space Administration,"May 15, 1963 13:04:13 UTC",28.49103,-80.54687,S,Na
28,Ariane 5 ECA | Alphasat I-XL (Inmarsat-XL) & INSAT-3D,Arianespace,"July 25, 2013 19:54:07 UTC",5.239,-52.768,S,Na
29,PSLV XL | Mars Orbiter Mission (MOM),Indian Space Research Organization,"November 5, 2013 09:08:00 UTC",13.733,80.235,S,Na
30,Proton-M Briz-M | Inmarsat-5 F1,International Launch Services,"December 8, 2013 12:12:00 UTC",46.039984,63.032093,S,Na
31,Proton-M Briz-M | Inmarsat-5 F2,International Launch Services,"February 1, 2015 12:31:00 UTC",46.039984,63.032093,S,Na
32,Proton-M Briz-M | Inmarsat-5 F3,International Launch Services,"August 28, 2015 11:44:00 UTC",46.039984,63.032093,S,Na
33,Proton-M Briz-M | ExoMars Trace Gas Orbiter & EDM Schiaparelli lander,Khrunichev State Research and Production Space Center,"March 14, 2016 09:31:42 UTC",46.039984,63.032093,S,Na
34,Falcon 9 Full Thrust | Inmarsat-5 F4,SpaceX,"May 16, 2017 00:10:00 UTC",28.60822681,-80.60428186,S,Na
35,Ariane 5 ECA | Hellas Sat 3 (Inmarsat S EAN) & GSAT-17,Arianespace,"June 28, 2017 22:16:00 UTC",5.239,-52.768,S,Na
36,"Atlas V 401 | InSight, Mars Cube One 1 & Mars Cube One 2",United Launch Alliance,"May 5, 2018 13:05:00 UTC",34.64,-120.5895,S,Na
37,H-IIA | Inmarsat-6 F1,Mitsubishi Heavy Industries,"January 1, 2020 00:00:00 UTC",30.402222,130.975,S,Na
